            wavelength  intg_flux  intg_err  ion      blended_label
O2_3726A_m      3726.0   5.481955  0.109639   O2  O2_3726A+O2_3729A
Ne3_3968A       3968.0   0.118908  0.002378  Ne3               None
He1_4026A       4026.0   0.016608  0.000332  He1               None
H1_4341A        4341.0   0.456793  0.009136   H1               None
O3_4363A        4363.0   0.150592  0.003012   O3               None
He1_4471A       4471.0   0.035595  0.000712  He1               None
Fe3_4658A       4658.0   0.008363  0.000167  Fe3               None
He2_4686A       4686.0   0.012583  0.000252  He2               None
Ar4_4740A       4740.0   0.011271  0.000225  Ar4               None
H1_4861A        4861.0   1.000000  0.020000   H1               None
O3_4959A        4959.0   3.616886  0.072338   O3               None
O3_5007A        5007.0  10.819515  0.216390   O3               None
He1_5876A       5876.0   0.104421  0.002088  He1               None
S3_6312A        6312.0   0.139309  0.002786   S3               None
N2_6548A        6548.0   0.029885  0.000598   N2               None
H1_6563A        6563.0   3.035042  0.060701   H1               None
N2_6584A        6584.0   0.088032  0.001761   N2               None
He1_6678A       6678.0   0.030465  0.000609  He1               None
S2_6716A        6716.0   0.175057  0.003501   S2               None
S2_6731A        6731.0   0.133658  0.002673   S2               None
He1_7065A       7065.0   0.024050  0.000481  He1               None
Ar3_7136A       7136.0   0.162299  0.003246  Ar3               None
O2_7319A_m      7319.0   0.063924  0.001278   O2  O2_7319A+O2_7330A
S3_9069A        9069.0   1.412764  0.028255   S3               None
S3_9531A        9531.0   3.515115  0.070302   S3               None
#LiMe_0.9.85
